jobTitle,preferredjobs
"Machine Operator,Fork Truck Driving,Warehouse co-ordinator","Fork Truck Driving, Machine Operator, Warehouse"
,"Teaching Assistant, Child care, Online Teaching"
"Care,Warehouse,Kitchen Porter","Kitchen Porter, Warehouse, Care"
"Support Worker,Personal Care Assistant,Comercial Cleaner,Support Worker,Comercial Cleaner",
"Precription delivery",
,"Flt driver"
,"Outdoor activities instructor, Music engineer, Retail"
Picker,"Administration, Translator"
Waitress,"catering, cleaning, lunch time supervisor"
"Stores Assistant,Reception,Retail assistant","Animal Care, Receptionist"
,"IT Technician, 1st Line IT Support"
"team leader","Retail management, account manager"
"Youth Worker,Web Designer","Administrator, Business Development Assistant"
,"Hospitality, Retail"
Director,
,"Bar work, Music related, Driving"
Racking,"Racking, Construction"
"Recruit British Army,Customer Service assistant,Teaching assistant","Electrical engineering apprenticeship, Pharmacy CSA, Logistics"
,"Courier (Amazon Delivery Driver) Delivering Amazon packages, managing delivery routes, and ensuring timely shipments., Courier (Uber Eats / Parcel Delivery Driver) Delivering parcels and food, handling customer interactions, and optimizing delivery routes., Logistics Assistant  Delivery Operations Support Assisting with logistics processes, helping with route planning and loading, and supporting driver"
Caretaker,
"Customer care assistant,Crew member,Chef","Chef, Barista, Bartender"
Barista,
"Support Worker","Barrista, Waitor, Support Worker"
"kitchen helper,car wash,wearhouse",
"Retail Assistant,EPOS Administrator,Retail Assistant",Retail
"Nursery Assistant,nursery apprentice","nursery worker, young child social care, hair and beauty"
"warehouse worker,takeaway assistant,Sainsburys retail assistant,Kitchen assistant at restaurant,Steward at festivals",
"Drainage Engineer,Painter/ decorater","Painter/ decorator, Railway Engineer"
"Car valetor","Warehouse, Outdoor work ,"
"Sia door security,Fire alarm engineer","Security, Working with children, Hospitals, Fire alarm  ( not so much driving) ( on site)"
construction,
"Taxi Driver","Driver, Factory work, Care work"
Nurse,Nursing
"Barista,Trainee sous chef","Railway Maintenance, NHS jobs, Hardware/ garden centre"
,"Warehouse operative, Bar staff, Retail worker"
"assistant accountant,customer operations advisor,accounts research specialist","finance, accounting"
"Gardener,Retail,Office Work","Sales, Office job, Warehouse work"
"Waste remover,Office cleanser","Cleaner, Warehouse worker, Data entry"
,"Warehouse nights, Factory work nights, Drivers mate nights"
,"Warehouse, Construction"
,"Barber, Mechanic - Car"
"housekeeping,Advertising/PR Manager,Chief Sales Manager","Library assistant, Care work"
,"Cleaning, Cheffin, Labourer, Factory"
"Pot washer",
Picking,"Warehouse, Picker, Packing"
"Drivers mate",
"Gardening work,Factory work,Picker/packer,Warehouse",
"Mail sorter",
"Client Partnership Manager","Sales, Account manager, Customer service"
,"Cleaner, Carer"
"STORE MANAGER","Store Manager, Assistant Manager, Cable engineer, Maybe working with kids, Maybe a Care worker"
Barstaff,
"Any other job available,Truck driver,Mechanic","Mechanic, Driver, Any other job"
"Driver,Warehouse/driver,warehouse/supervisor","driver, warehouse, supervisor"
"IT Service Desk Analyst","Software Tester, Software Quality Assurance, Software Test Analyst"
,"Factory Operative, Picker/ packer"
"Warehouse worker","Cleaner, Packer, Warehouse"
"Warehouse production line,Warehouse picking and packing","Warehouse picking, Warehouse packing, Retail - shelf replenishment"
"Cafe Bar Assistant,Sales Assistant,Sales Assistant,Kitchen assistant,Processing Clerk,Telephone Clerk",
"Interior Design Assistant,Shared Owner,Customer Service Assistant,Waiter,Warehouse Operative","Civil Services, Accountancy, Interior Design"
Labouring,
"Volunteer Shop Assistant,Volunteer Shop Assistant,Seasonal Sales Assistant,Warehouse Operative","Sales Assistant, Shop Assistant, Retail Assistant"
"Postal driver,Mail sorter","DATA ADMIN"
"Business Development Executive","Business Development Roles, Sales roles - printing engineering, Account Management, Account management training on software"
"Manufactoring,Picking/Packing,stock controller,warehouse","warehouse, picking and packing"
"Kitchen Designer,Project Lead","Game Developer, Kitchen Fitter, Trainee Electrician"
Receptionist,"Customer Service, Hospitality"
"Hgv 1","Hgv1, Hgv1 nights"
"Next warehouse,Recycling centre","Warehouse opertive, Retails"
"Truck driver",
"Customer service,Team Leader in a Pub,Beauty Therapist","Customer service, Hospitality"
"Picker/ packer","Warehouse Operative, Production Operative"
"Picker and packer","Beauty, Hair dresser"
"Paging,Clliner",
"Cleaner,Cleaner",
,"Cleaner, Packer"
"Data Entry,Stocks and Quality Control,Team Member Retail","Retail, Warehouse, Admin"
"Sales assistant","Sales assistant, Anything"
"Senior Care Assistant",
"Picker/Packer",
"Self Employed dog groomer",
"Mobile general assistant,Cafe worker",
"warehouse operative","warehouse operative, drainage fitting"
"Bartender,Bartender,Bar staff/ waitress,Sales Assistant,Christmas temp retail manager,Scare actor","Theatre, Photographer, Hospitality"
"northern rail,Boots optician",
Barber,
"Retail,Carer,Bar staff","Retail, Waiting staff, Admin role"
"DHL Bidfood","Warehouse operative, Forklift driver, Construction worker"
,Tiler
"Bar work / customer service,Warehouse / picking packing",
"Enrolment Administration","Barista Job, Waiter, Hospitality, Administrative role"
"team member","retail, warehouse"
"House Keeper","Mental Health nursing"
"Sales Assistant","Retail Assistant"
"Kwik fit,Superdrug,Premier meats",
"I.T Hardware",
"Care work","Warehouse, Care Assistant"
,packing
"Managing Director/owner at a car sales and service main dealer,Service manager,Aftersales  Assistant  car dealer","Area Manager, Business Roles, Management Role"
,"Warehouse oerative, Cleaner, Security"
"Bakery Operative","HGV Driver"
waitress,
"Warehouse Operative","Care Assistant, Support worker"
"Warehouse,Warehouse",
"Parts Advisor,Warehouse operative",
Welder,"Welding, Supermarket shelve stocking"
"Balustrade,Labour,Pattern Concreter",
"Lunch time supervisor,Passenger Assistant,SS Catering",
"Petrol Station Penny Petroleum,Asda Customer Service,Warehouse","Retail, Fitness, Hospitlaity, Receptionist, Host"
"cleaner,Picker","Driver, Cleaner"
"Bar staff,Sales assistant,Sales assistant,Sales assistant",
"Mobile catering",
"Teacher abroad",
"Menzies distribution,Valentinos","Warehouse operative, Machine operator"
"Retail assistant",
"Landscape Gardener","Landscape Gardener, Bartender"
"Reception/administrator,Administrative assistant,HR Administrator","Administration, Customer Service"
"Care assistant,Sterile services technician",
"Warehouse picking/packing","Mechanic/Motorbikes, CSCS - labouring"
Waited,"Customer service, Kitchen porter's, Chefs"
"Maintenance worker",
"Admin Assistant,Social Media Content Creator,Social Media Executive","Social Media, Marketing, Retail"
"Retail,Shop Owner","Retail Assistant"
"Warehouse Operative,Team Member",
"bartender,sales assistant,wearhouse operative",
"I.T Hardware",
"Support worker,Driver,Supermarket,Bartender",
"Cleaner,off licence","Travel and Tourism, Retail, Hospitality"
"Customer service,Team Leader in a Pub,Beauty Therapist","Customer service, Hospitality"
"Carer,support worker,Team leader",
"carer,bar maid,retail assistant",
"Shop assistant,Warehouse operative,Farmer",
Packing,"Cleaner, beautician, Baby sitter"
"Lunchtime supervisor,Sales assistant","In school"
"Care work","Warehouse, Care Assistant"
"Bar tender,Catering,Retail","DELIVERY, SECURITY"
Drainage,
"Health care assistant",Caring
"Warehouseman,Van driver,Labourer",
"Lunchtime Supervisor,School Crossing Patrol,Volunteer,Volunteer helper in school,Chargehand/Supervisor,Warehouse Operative,Team Leader / Checker/Warehouse Operative","Retail Assistant, Teaching Assistant"
"Retail operative in supermarket",
"Bar Staff,Bar Staff,Support Worker","Bar Staff"
"Waste remover,Office cleanser","Cleaner, Warehouse worker, Data entry"
Barber,
"Warehouse Operative",
"Truck driver,Construction","Construction, Welder, Warehouse, Carpenter"
"Administrator,Warehouse",Administrator
"Crew Member,Residential Support worker,Health Advisor",
"Senior Care Assistant",
"Admin,Hospitality,Cleaning,Teaching assistant,Warehouse",
"Bartender/glass collecter,Bartender/waiter,Bartender,Waiter,Waiter,Bartender","Warehouse Operative, Bartender"
Cleaning,
Teaching,"Lecturing, Teaching, Management, Setting up my own business"
Programmer,"Programmer, Developer"
,"Construction labourer"
"Warehouse operative,Production line operative",
"Shop fitting,Contruction,Cladding","Construction industry"
"Mechanical engineer,Joiner,Electrician","Electrician, mechanical engineer, Construction"
"Heron foods,B&m",
"Insulation,Welding","Welding, Labouring"
"Cleaner,Cleaning",Cleaning
Construction,Driving
"Sales assistant","Sales assistant, Anything"
"Sales Advisor",
Deli,"Term time job, Teaching assistant"
"Cleaning,Kitchen,Warehouse","Warehouse, Kitchen, Cleaning"
"Customer Assistant,Shop Assistant,Barmaid,Product Photographer & Quality Control","Psychologist, Support Work (mental health support), Photographer"
"Picking and packing warehouse normanton,Customer service at KFC",
"warehouse operative,warehouse operative",
"Self Employed dog groomer",
,"Driving instructor"
,"Purchase Ledger, Administrator"
"Cleaner,Cleaner,Bar/floor staff,Call centre operator","Cleaner, Call centre operator, Bar/floor staff"
Drainage,
"Pub,Warehouse","Construction, Retail, Warehouse"
,Barber
"Club travel school run.",
"Chef assistant,Shop assistant,Shop assistant,Hairdresser",
"Factory Operative",
"picking and packing,warehouse,labouring",
"Team Leader","Mechanic, learn a trade, Own business"
"landscaping,warehouse,cleaner",cleaner
,"Construction, Joinery, Warehouse"
"Teaching Assistant","Teaching Assistant, Office Based, Admin"
IT,
,Morrisons
,"Market Research, Office work"
,"Work on construction, Fitting carpets or flooring, Plumber"
"Medical engineer,Butcher",Engineering
Cleaner,Cleaner
,"Driving, Warehouse, Window  fitter"
,"Construction, Delivery driver"
,"Supermarket jobs, Warehouse jobs, Picking jobs"
"Warehouse picking and packing",
"No work history",
,"warehouse, cleaning"
,"Music related teaching, Outdoors/physical"
"Customer service,Admin","Driving - automatic, Office Admin, Customer service"
"Training as bricklayer",
"cleaning,picking/packing",
"Racing car mechanic,Vehicle restorer",
Dispenser,"Administration, Receptionist, Office"
"volunteer community centre work",
,"Warehouses, Retail"
"Team member",
"Hotel staff","Warehouse, Carer, Hotel staff"
,"Factory operator, Warehouse picking and packing, Cleaning Industrial"
"property maintenance",
"Graphic Designer","Graphic Designer"
,Retail
,"IT, Marketing, Education"
"Passenger Assistant",
"House keeper",
"Driver,Tailor,Teacher","Tailoring, Driver, Teaching math"
,Warehouse
,"Retail assistant"
"Packer,Picker Packer",
"Bar work,kitchen","Retail, Cleaning, Kitchen assistant, Healthcare"
"picker and packer,ventalation engineer,Project Manager",
Chef,"Chef, Warehouse operative"
"Fabrication technician,Multi-trade","Electrical install, Multi trades, Carpenter"
,"IT support analyst, IT support Engineer, 2nd Line Technical Support"
"Production,Warehouse,Kitchen production,Farmer",
"Data Scientist,Carer","Software Developer, Customer Support, Administration, Internship"
,Cleaner
,"IT, Administrator"
"Scrap Yard Manager",
"Picking and Packing",
"Visual Merchandiser,Designer - Visual Merchandiser","Visual Merchandiser"
,"Warehouse, Picking and packing, Machine operator"
"Garden centre,Retail / Stacking shelfs","S.I.A CCTV, Wearhouse, Retail / Stacking shelfs"
,Groundworker
,"AI Prompt Engineer or AI Content Specialist, Technical Support or AI Customer Support Agent, Freelance AI Content Creator or Consultant"
"Nocturno Floor","Mechanic, Valeting, FLT"
"Teacher of Arabic",
"Maintenance work,Building surveyor","Maintenance work"
"cleaner,Warehouse Operative,Cleaner","cleaner, warehouse"
"Slaughtger man,Miner",
"Warehouse operative","Picker/packer, Counter balans driving"
"Retail work,Fryer in Fish & Chip shop,Bar maid",
"Warehouse operative,Warehouse","Delivery Driver, Warehouse Operative"
"care home assistant,Cleaning","Care, cleaning"
"Bar Work,Retail,Warehouse","Retail, Office - Admin, Bar, Customer Service"
"Labouring,Construction Work,Plumbing",Plumbing
"Domestic assistant,Nursery practitioner",
Councellor,
"Paging,Clliner",
"shop assistant",
"The range,Care assistant","Care assistant in the community"
"Support Worker,Waitress","Waitress, Bartending, Carer"
"Concrete flop layer,Labouring,Warehouse Operative,Concrete Floor layer","Labourers, Concrete floor layer, Plasters"
"window cleaner","Window cleaner, Landscaper, Ground maintenance"
"Shop assistant","Retail, Warehouse, Picker packer"
"Gardening work,Factory work,Picker/packer,Warehouse",
"Warehouse Trainer,Warehouse Team leader","Team leader, Manager, Human Resources, Warehouse operative, receptionist"
Waiter,RAF
Bartending,"Teaching Music, Producing Music, Chef/Kitchen work"
"Picking packing,Warehouse operative","Cleaner, Packer, Warehouse"
"Making small objects,Machinist",
"House hold appliance engineer","House hold appliance engineer"
"Refuse collect worker,Site worker","Warehouse Operative, Production Operative, Logistics Associate"
"Warehouse / picking","customer service, Sales"
"Kitchen assistant","Teaching assistant, Cleaning"
"Cafe staff,Cook",
"Escort,Escort",
"Claims Handler,Retail Assistant,Apprentice Underwriter,Underwriter,Customer Assistant,Customer Service Operations & Planning Administrator,Customer Assistant,Commercial Underwriter,Apprentice Assistant Market Underwriter","Retail, Call Centre, Warehouse"
"Loader & unloader,Picker & packer",
"Picker/ packer",
"Lunch time assistant",
"Cleaner,Bar tender,Chef",
Farmer,
"Joiner,Manager of a Bingo Hall","Supermarket work"
"Product design,Waitress,Pub work","Product designer"
"Labourer,Warehouse,Roofer",
"Office manager,Administration","Office Work"
"Ice cream man","Ice cream man"
"Director of limited company",
"Retail,Carer,Bar staff","Retail, Waiting staff, Admin role"
"Sales associate","Sales and marketing"
"Window fitter",
"Geography Teacher",
"Bar tender","Bar tender, Delivery driver"
"warehouse operative","Trainee Mortgage Advisor"
"warehouse worker",
"Cleaning service,Chipshop","Security, Care home worker, Construction"
Fencing,"Fencing, Scaffolding"
Cleaning,Cleaning
"Barista,Trainee sous chef","Railway Maintenance, NHS jobs, Hardware/ garden centre"
"Office assistant,Sale assistant",
"House Keeper","Mental Health nursing"
"Kwik fit,Superdrug,Premier meats",
"Teaching assistant",
"Warehouse / picking packing,Joinery","Joinery, Driving, Operative, Warehouse admin"
Hospitality,"Carer, Work with children, Teacher"
volunteer,"HOSPITALITY, CHILD CARE"
"farm hand,Warehouse operative",
carer,
Farmer,"Warehouse, Security"
"Bartender,Bartender,Waitress","Chef, Bar staff, Support worker"
"Plant operater","Plant operater"
"Warehouse Operative,Library Assistant,Telephone Operator,Sales Assistant","Administration, Library Assistant, Office work"
"Domestic worker","Cleaner, Care assistant"
"Warehouse,Care",
"No work history",
"cleaning,picking/packing",
"Cleaner,Handy man painting and carpentry",Cleaning
"Civil Engineer",
"Sales assistant,Cleaner,Retail assistant","Retail, Cleaner"
"Roofing,Gas Engineer / Pipe layer","Admin / Customer Service, Sales / Sales Assistance, Driver Mate, S.I.A / CCTV"
Housekeeper,
Receptionist,
"Retail,Customer service","Smiths Toys Superstore Key holder"
"Administration,Teaching Assistant,Cleaner,Retail Assistant","Childminder, Teaching assistant"
"Cleaning,Schools with children,Admin","Retail security, Animal care, Admin, cleaning"
Cleaner,
"Fabrication technician,Multi-trade","Electrical install, Multi trades, Carpenter"
"Online Delivery Driver,head of house keeping/ cleaning,carer,support work","Customer service"
"Maintenance work,Building surveyor","Maintenance work"
,"childcare, lunchtime supervisor"
,"Teaching Assistant, Customer Service, Retail, Healthcare"
,"Health care assistance"
,"Driver 3.5 tonne, Concreter, Operative"
"Support Worker",
"Next,Superdrog,Fox Buiscuit Ltd,Jay-Be LTD,Sampling international","Forklift driver, Logistics, Warehouse operator"
"catering assistant",catering
"Cleaner,SEWING FACTORY HELPER",
"Digital producer,Creative producer,Freelance production assistant,Personal advisor,Temp admin","Creative producer, Creative account manager, Video producer"
"Door supervisor,Warehouse oprative,Receptionist","Receptionist, Security"
warehouse,"Construction, construction labourer"
"factory,security,security","security, sewing"
"Online Delivery Driver,head of house keeping/ cleaning,carer,support work","Customer service"
"Donnas Domestic cleaning services",Cleaning
"Kitchen Assistant","Kitchen Assistant, Cleaning, Warehouse"
Cleaner,
,"Warehouse, Retail"
"Hotel manager,Bar Manager","Bar management, Hotel Management, Customer service / Admin"
"Self employed business in Hull,Shop Assistant","shop assistant"
"TECHNICAL SALES & BUSINESS DEVELOPMENT MANAGER,RETAIL ACCOUNT MANAGER,PROJECT MANAGER","Account management storage equipment, Sale Storage equipment, Technical Sales storage equipment"
"Pizza chef","Building electrical work, mechanical, Construction"
"Dispensing assistant",
"Customer service asvisor,Sales advisor,Customer advisor","Warehouse, Office/admin, Customer service"
"warehouse operative,WAREHOUSE","Warehouse, packer"
Gardener,"IT, Gardening"
"Picker/packer,Bar tender","Bartender, Retail, Warehouse"
"Machine operator",
"Production,Warehouse","Warehouse, Cleaning"
catering,
"Warehouse operative","Warehouse Operative, Picking and Packing"
,"Hgv driver, Flt driver, Van driver"
stores,"driver, retail"
Cleaning,"Self employed - eyelashes/beauty, Retail"
"Retail Sales Assistant","Retail, Warehouse, Cleaner"
"picking/packing",
"Care Sales",
"Care assistant","Support work. Care assistant, Cleaning, Health care"
"Picker/ packer","Warehouse Operative"
,"Exam invigilator, Lunchtime assistant, Teaching assistant"
,"Driving, Plant operator"
"Community Support Worker",
,"Dinner Lady"
"Carer,Warehouse assistant,Bar staff,Bar staff","Bar work, Retail sales, Cleaner"
"Catering Assistant,Catering Assistant",
Delivery,
,"Support worker, Driver"
"Retail Assistant,Picking / Packing,Warehouse Operative","Warehouse Operative, Retail Assistant, Customer Service, Admin"
"Nanny,Domestic assistant (NHS),Teaching Assistant SEND (Autism),Teaching Assistant in Key Stage 1,Teaching Assistant in EYFS",
"Retail,Shop Owner","Retail Assistant"
Plastering,"Office Jobs, Admin Roles"
"Sortation,SEO Executive","Digital Marketing, Warehouse, Apprentaships"
,"Data analyst, Account"
"NHS Covid Clinic Marshall,Gardener,Kitchen porter","Car mechanic / valet, Joiner, Labourer"
,"Floor installing"
"Game / Retail","Customer service, Retail / Stacking shelf's, Sales Assistant, Warehouse / picking packing, Security / CCTV"
,"Catering/Restaurant kitchen work"
"Warehouse Admin,Bartender,Butcher","Sports Coach, Bartending"
"Cleaning,Shop Assistant",Admin
"Account Mabager,Global Project Manager,Senior Account Manager","Senior Account Manager, Project Manager, Customer Sucess Manager"
Cleaner,
"Warehouse worker",
"Bar work / customer service,Warehouse / picking packing",
"Warehouse operative",
"Hospitality- fast food,Warehouse operative,Customers service- WHSmith","Barman, Retail, Customer service- fast food"
"Trading assistant,Customer care","Retail, Customer service"
"James Jones Warehouse","Warehouse, Bricklaying, Retail"
Cleaning,"Self employed - eyelashes/beauty, Retail"
"Gardener,Retail,Office Work","Sales, Office job, Warehouse work"
Salesman,
"BNM,Savers",Retail
"Retail Assistant,EPOS Administrator,Retail Assistant",Retail
"warehouse worker,takeaway assistant,Sainsburys retail assistant,Kitchen assistant at restaurant,Steward at festivals",
Barber,"Driving, Outdoor work, something that does good for communities"
Midwife,
"Trading assistant,Care assistant cymar,Care assistant hc one,Trainee travel agent,Park marshal","Travel agent, Trainee dental nurse, Cabin crew"
"Cleaner,Barista","Cleaner, Nail Technician, Barista"
,"Domestic, Cleaner"
"Warehouse op,Warehouse op,Warehouse op","Warehouse, Cleaner, Admin"
"Care home worker,Home care worker,Babysitter,Warehouse operative","Customer service, Cleaner, Part-time"
"Granite Fabicator,Bus driver",
,"Cleaning, Cleaning, Cleaning"
"Kitchen assistant,Care assistant",
barber,"barber, shop work"
"Architectural Technician,Product Manager,Architect,Architect,Architectural assistant",
"Road Surfacer,Ground Worker","Ground Worker, Road Surfacing"
Receptionist,"Administration, Receptionist, Community"
"Production Operative","Warehouse picker/packer"
Cleaner,"Admin roles"
"Warehouse Admin,Bartender,Butcher","Sports Coach, Bartending"
,"Customer Service, Hospitality, Retail"
"Fast Food Resturant","Warehousing, Retail, Telescopic Handler, Cleaning, Any job i can get"
"Picker packer",Cleaner
"Escort,Escort",
"Co op store member apprenticeship,Scope volunteer apprenticeship,McDonalds crew member apprenticeship","Retail assistant"
,"Teaching assistant, Lunch time supervisor, Cleaner"
Farmer,"Warehouse, Picking and Packing, Truck loader"
"Bar Staff","Bar Staff"
Waiter,
,"Ware house, Retail, Fast food"
"Warehouse op","Warehouse operative, Call centre, Costumer service, Apprenticeship"
"Warehouse workers",Warehouse
,"Painting & Decorating, Labouring/Building, Security"
"Security,Warehouse","Warehouse operative, Security Officer"
,"substance misuse, homeless, security"
,"Admin, Council, Warehouse"
"Warehouse Operative,Library Assistant,Telephone Operator,Sales Assistant","Administration, Library Assistant, Office work"
,"Warehouse Operative, Labouring"
"Work at market,Cleaning,Barber",
Warehouse,
"Kitchen Associate",
"Warehouse work,Take away jobs","Warehouse, Driver, Production"
"Lunchtime supervisor,Sales assistant","In school"
"agency work,tag and bag,shelf stacker,agentcy,cashier","patient transport, driving role, delivery driver"
,"Warehouse, Packing, Factory"
,Security
,"Warehouse, Construction, Security"
"Call centre team leader,Support leader","Call centre manager, Sales manager"
Cleaner,"Cleaner, Care, Retail"
"Bar tender","Joining the Royal Engineers"
"Senior care assistant,Home care assistant,Receptionist,Reception and input clerk","Care, Receptionist, Working with animals"
"Activity Instructor,Bartender,Park Marshall","Server, Driver, Bartender"
"Admin Assistant,Social Media Content Creator,Social Media Executive","Social Media, Marketing, Retail"
,"Nursery job"
"chef in a restaurant","Chef, Detailing cars or cleaning, Picking packing"
"Production operative,Waitress","Office based jobs, Confectionery,  baker"
"Office Assistant",
"Door supervisor","Youth work, Support worker"
,"Social Worker"
"Various volunteering roles between the below dates",
"Warehouse / picking packing,Labouring / building sites","Laboured, Warehouse Work, Construction, drivers mate"
"warehouse operative","warehouse operative, cleaner job, work in the store"
"General Labourer,Roofer Domestic","Dumper Truck Operator"
Welding,
"Picking,Sales Assistant","Care Worker, Shop Assistant, Warehouse Operative, Picking and Packing"
"Healthcare professional,non-gaming supervisor and team member",
"Care assistant",
"Fencing operative,DRIVERS MATE,Delivery Driver",
,"Painter, Welder"
"Labourer,Sheet Roofer","sheet roofer, labour"
"WAREHOUSE OPERATOR,BAKERY OPERATOR,FABRICATOR,PRODUCTION OPERATIVE,WAREHOUSE OPERATOR","TELECOMS ENGINEERING, CONSTRUCTION, ELECTRICIAN"
"Groom,Groom","Equine Groom, Horse rider, Yard Groom"
"KG SOLUTIONS WINDOW FITTER","Factory warehouse"
"Teaching performing arts degree","Arts Industry, Technical Arts, Set Building"
"Shop assistant",
"Driving,gardener,warehouse","gardening, warehouse"
Warehouse,
"Sales Assistant,Retail Assistant,Farmer","Customer Services Assistant, Sales Assistant, Production Operative"
"Cleaner,Lunchtime supervisor",
"Senior Product Designer,Head of UX Design,Design Consultant,UX Architect","Head of UX Design, Lead Product Designer, Principal Product Designer, Head of Product Design, UX Manager, Lead UX Designer, Principal UX Designer"
"PICKER PACKER",
PACKING,
"Dinner lady",
"Insurance Broker","Sales, Insurance, Finance"
"Health Care Assistant",
"kitchen assistant","kitchen assistant, hospitality, retail assistant"
"Machine operator",
"Warehouse Operative,Senior Team Member","HGV Driver, Warehouse/Despatch"
"Retail work,Counter Assistant","Nursery Assistant"
,Welding
carer,"care, warehouse, cleaning"
server,
,"Retail worker"
takeaway,"Warehouse, Stock assistant, Working from home - admin"
"account manager",
"Kitchen Staff",
,"Chef, Head chef, Kitchen manager"
"Pub Supervisor",
"Warehouse Operative,Packing","Cleaner, Packing, Picking"
"Insolvency analyst,Barista","Admin, Office, Receptionist"
"Kitchen Assistant",
"Deliver driver",
Waited,"Customer service, Kitchen porter's, Chefs"
,"Business Management"
"Warehouse Operative","Accounting, Warehouse Operative"
"Production operative","Trainee mechanic"
"Fence erector,Fence erector,Ground worker,Telescopic fork truck driver,Forward tipping dumper",
"Delivery driver,Dominos delivery driver Castleford,Dominos delivery driver Oulton,Bartender,NHS Covid bookings call centre agent,Amazon delivery driver","Van work (insurance, excess, fuel covered), Reception worker, Forklift job with training"
"Warehouse operative","Warehouse operative"
Builder,Builder
"WAREHOUSE OPERATIVE","electrical assembly, electronic assembly, office admin"
"Sign writer,Mechanic","Mechanic, Sign writer"
Driver,
"Warehouse Operative,Warehouse Operative",
"Warehouse Operative","Warehouse Operative, Night Porter, Bar work"
"Warehouse operative,Production line operative",
,"111 call handler, HR- computer based, Retail - entertainment shops"
"Shop fitting,Contruction,Cladding","Construction industry"
Barber,Barber
,"Warehouse, Flt driver, Yard marshall"
,"Machine Operator"
"Supervising,Ducting,Pipework,Paving,Groundworker (7 years experience)","Grounds worker, Driver, Ground work supervisor"
Barista,"Hospitality, Agriculture, Retail"
,"Career, Primary school assistant, Bartender"
"Carer,support worker,Team leader",
"Flt driver,Factory operator,Couch/Trainer",
"Full-time live in carer 24/7 for 35 years,Carer",
"Retail assistant",
Labouring,"Retail / stacking shelfs, Wearhouse, Customer Service / admin"
"cleaning Manager","Warehouse Operative, Cleaning Manager, Retail"
"Retail Assistant",
,cook
Warehouse,"Team Leader, QA Assurance, picker pakker"
cleaner,"warehouse, night shift"
"Warehouse op,warehouse","Counterbalance forklift driver"
Supervisor,
"Cleaner,off licence","Travel and Tourism, Retail, Hospitality"
Nurse,
"Sales associate","Graphic Designer, Sales Consultant"
,"Arabic Teaching, Mosque Teacher, Private Tuition"
"warehouse operative","warehouse, bar work, care work"
"Cleaner,Waitress,Kitchen assistant/ cook,General assistant","Teaching English foreign language online, Phone appointment/assistant, NHS healthcare support worker"
,"Support worker, Health care"
"Survey driver,Driver",
"Healthcare Assistant/Support Worker",
CSCS,"construction, personal trainer"
"Picker / Packer / next","Picker, Packer, Cleaner"
,"Mechanic, Production"
"warehouse worker",
Cashier,
,"Research following the completion of my PhD"
"Residential childcare worker,Tow path fund raising,PCSO",
